"TRIMID","ODSID","NAME"
"20002937","23663","ESI 2+2 Turbo"
"20002938","23664","ESI-R 2+2"
"20002939","23665","ESi"
"20002940","23666","ES V6"
"20002941","23667","EX"
"20002942","23668","ES-V6"
"20002943","23669","EX 4WD"
"20002944","23670","ESI 2+2"
"20002945","23671","EX V-6"
"20002946","23672","ESI-R"
"20002947","23673","EX-L"
"20002948","23674","ESV"
"20002949","23675","EXE"
"20002950","23676","ETC"
"20002951","23677","EXT"
"20002952","23678","EX 1995.5"
"20002953","23679","EZ"
"20002954","23680","EX III"
"20002955","23681","Eddie Bauer"
"20002956","23682","EX V6"
"20002957","23683","EX-P"
"20002958","23684","EXP Luxury"
"20002959","23685","EXT LT"
"20002960","23686","Eagle"
"20002961","23687","Eddie Bauer 4WD"
"20002962","23688","Eddie Bauer Crew Cab"
"20002963","23689","Eddie Bauer Crew Cab H/D"
"20002964","23690","Eddie Bauer Flareside"
"20002965","23691","Eddie Bauer SuperCab"
"20002966","23692","Eddie Bauer SuperCab Flareside"
"20002967","23693","Edge"
"20002968","23694","Edge SuperCrew"
"20002969","23695","Elan"
"20002970","23696","Electronic"
"20002971","23697","Eliminator"
"20002972","23698","Enthusiast"
"20002973","23699","Estate Wagon"
"20002974","23700","Euro"
"20002975","23701","Executive GT"
"20002976","23702","Eddie Bauer AWD"
"20002977","23703","Eddie Bauer Crew Cab DRW"
"20002978","23704","Eddie Bauer DRW"
"20002979","23705","Eddie Bauer H/D"
"20002980","23706","Eddie Bauer SuperCab DRW"
"20002981","23707","Eddie Bauer SuperCab HD"
"20002982","23708","Expedition"
"20002983","23709","Edge SuperCab"
"20002984","23710","Express"
"20002985","23711","Eight"
"20002986","23712","Extended"
"20002987","23713","Eldorado"
"20002988","23714","Extended Cab Classic"
"20002989","23715","Elegante"
"20002990","23716","Elite"
"20002991","23717","Extended Wheel Base Sedan"
"20002992","23718","Extra Cab 4WD"
"20002993","23719","Estate"
"20002994","23720","F-10 Series"
"20002995","23721","Etienne Aigner"
"20002996","23722","F1A"
"20002997","23723","FX-16"
"20002998","23724","FX-16 GTS"
"20002999","23725","FX4 Crew Cab Super Duty"
"20003000","23726","FX4 Flareside"
"20003001","23727","FX4 Styleside"
"20003002","23728","FX4 Styleside SuperCrew"
"20003003","23729","FX4 Super Duty SuperCab"
"20003004","23730","FX4 SuperCab Flareside"
"20003005","23731","FX4 SuperCab Super Duty DRW"
"20003006","23732","FX4 SuperCrew Flareside"
"20003007","23733","Fifth Avenue"
"20003008","23734","Flareside"
"20003009","23735","Flareside Eddie Bauer"
"20003010","23736","Flareside Lariat"
"20003011","23737","Flareside Special"
"20003012","23738","Flareside SuperCab"
"20003013","23739","Flareside XL SuperCab"
"20003014","23740","Flareside XLT"
"20003015","23741","Executive"
"20003016","23742","Flareside XLT SuperCab"
"20003017","23743","Fleetside Crew Cab"
"20003018","23744","Fleetside Extended Cab H/D"
"20003019","23745","Fleetside Extended Crew Cab"
"20003020","23746","Fleetside H/D Extended Cab"
"20003021","23747","Fleetside L/D Extended Cab"
"20003022","23748","Executive L"
"20003023","23749","Fleetside XLT Lariat"
"20003024","23750","Export"
"20003025","23751","Four"
"20003026","23752","Expresso"
"20003027","23753","Futura"
"20003028","23754","Extended Cab"
"20003029","23755","G10"
"20003030","23756","Extended Cab DRW"
"20003031","23757","G10 Bonaventure"
"20003032","23758","Extra Cab"
"20003033","23759","G1500 Custom"
"20003034","23760","F"
"20003035","23761","G1500 STX"
"20003036","23762","F1"
"20003037","23763","FX"
"20003038","23764","FX-16 GT-S"
"20003039","23765","FX4"
"20003040","23766","FX4 Crew Cab Super Duty DRW"
"20003041","23767","FX4 Flareside SuperCrew"
"20003042","23768","FX4 Styleside SuperCab"
"20003043","23769","FX4 Super Duty Crew Cab"
"20003044","23770","FX4 SuperCab"
"20003045","23771","FX4 SuperCab Super Duty"
"20003046","23772","FX4 SuperCrew"
"20003047","23773","Falcon"
"20003048","23774","Fila"
"20003049","23775","Flareside Custom"
"20003050","23776","Flareside Eddie Bauer SuperCab"
"20003051","23777","Flareside Lariat SuperCab"
"20003052","23778","Flareside Special SuperCab"
"20003053","23779","Flareside XL"
"20003054","23780","Flareside XLS"
"20003055","23781","Flareside XLT Lariat"
"20003056","23782","G20 Beauville"
"20003057","23783","G20t"
"20003058","23784","G2500 Custom"
"20003059","23785","G2500 STX"
"20003060","23786","G30 Beauville"
"20003061","23787","G30 H/D"
"20003062","23788","G3500 Camper Special"
"20003063","23789","G3500 Custom"
"20003064","23790","G3500 H/D"
"20003065","23791","G3500 H/D STX"
"20003066","23792","G3500 Special"
"20003067","23793","Fleetside"
"20003068","23794","G500"
"20003069","23795","Fleetside Extended Cab"
"20003070","23796","G500 Grand Edition"
"20003071","23797","Fleetside Extended Cab L/D"
"20003072","23798","G 55 AMG 4MATIC"
"20003073","23799","Fleetside H/D"
"20003074","23800","G 550 4MATIC"
"20003075","23801","Fleetside L/D"
"20003076","23802","GA"
"20003077","23803","GL"
"20003078","23804","GL 1.8T"
"20003079","23805","GL 1986.5"
"20003080","23806","GL 2.0L"
"20003081","23807","GL AWD"
"20003082","23808","Fleetside W/T"
"20003083","23809","GL Carat"
"20003084","23810","Formula"
"20003085","23811","GL ECO"
"20003086","23812","Freedom"
"20003087","23813","GL Extended"
"20003088","23814","GL III"
"20003089","23815","G"
"20003090","23816","GL Sport"
"20003091","23817","G10 Beauville"
"20003092","23818","GL Syncro Camper"
"20003093","23819","G1500"
"20003094","23820","GL TDi"
"20003095","23821","G1500 Custom STX"
"20003096","23822","GL Wolfsburg"
"20003097","23823","GL-10 Turbo"
"20003098","23824","GL320 CDI"
"20003099","23825","GL 450"
"20003100","23826","GL 550 4MATIC"
"20003101","23827","G20"
"20003102","23828","GLE 16V"
"20003103","23829","G20 Bonaventure"
"20003104","23830","GLE Turbo Diesel"
"20003105","23831","G2500"
"20003106","23832","GLI"
"20003107","23833","G2500 Custom STX"
"20003108","23834","GLI VR6"
"20003109","23835","G30"
"20003110","23836","GLS"
"20003111","23837","G30 Bonaventure"
"20003112","23838","GLS 1.8L"
"20003113","23839","GLS 2.0L"
"20003114","23840","G3500"
"20003115","23841","G3500 Camper Special H/D"
"20003116","23842","GLS Extended"
"20003117","23843","GLS SE"
"20003118","23844","GLS TDi"
"20003119","23845","GLS V6"
"20003120","23846","GLS VR6"
"20003121","23847","GLT"
"20003122","23848","GLX"
"20003123","23849","G3500 Custom STX"
"20003124","23850","GLX 1995.5"
"20003125","23851","G3500 H/D Custom"
"20003126","23852","GLX Plus"
"20003127","23853","G3500 STX"
"20003128","23854","GLX V6"
"20003129","23855","G3500 Special H/D"
"20003130","23856","GLX VR6"
"20003131","23857","G500 4MATIC"
"20003132","23858","GP"
"20003133","23859","G 55 AMG"
"20003134","23860","GS 16V"
"20003135","23861","G55 AMG Grand Edition"
"20003136","23862","GS 16V DOHC Turbo"
"20003137","23863","GS 1985.5"
"20003138","23864","GS 2+2"
"20003139","23865","GS 400"
"20003140","23866","GS Plus"
"20003141","23867","G60"
"20003142","23868","GS Sport"
"20003143","23869","GA Limited Edition"
"20003144","23870","GS-R"
"20003145","23871","GL 1.8L"
"20003146","23872","GS-T Turbo"
"20003147","23873","GL 1985.5"
"20003148","23874","GSL"
"20003149","23875","GL 1995.5"
"20003150","23876","GSR"
"20003151","23877","GL 4WD"
"20003152","23878","GSX 16V DOHC Turbo"
"20003153","23879","GL Camper"
"20003154","23880","GSX AWD"
"20003155","23881","GL Diesel"
"20003156","23882","GSi"
"20003157","23883","GT 25th Anniversary"
"20003158","23884","GT AWD"
"20003159","23885","GT Premium"
"20003160","23886","GT Sport"
"20003161","23887","GL ECO Diesel"
"20003162","23888","GT Turbo"
"20003163","23889","GL II"
"20003164","23890","GT-S"
"20003165","23891","GL SE"
"20003166","23892","GL Syncro"
"20003167","23893","GT1"
"20003168","23894","GL TDI"
"20003169","23895","GT3"
"20003170","23896","GT5"
"20003171","23897","GL Turbo"
"20003172","23898","GTB"
"20003173","23899","GL-10"
"20003174","23900","GTI"
"20003175","23901","GL320"
"20003176","23902","GTLM"
"20003177","23903","GTP"
"20003178","23904","GTS Highline"
"20003179","23905","GTS Premium"
"20003180","23906","GL320 CDI 4MATIC"
"20003181","23907","GTS Sport"
"20003182","23908","GL 450 4MATIC"
"20003183","23909","GTUs"
"20003184","23910","GLE"
"20003185","23911","GTZ"
"20003186","23912","GLE Turbo"
"20003187","23913","GTi"
"20003188","23914","GLH"
"20003189","23915","GVS"
"20003190","23916","GLI 16V"
"20003191","23917","GX"
"20003192","23918","GLI Wolfsburg"
"20003193","23919","GXE Limited Edition"
"20003194","23920","GLS 1.8 4Motion"
"20003195","23921","GXL 2+2"
"20003196","23922","GLS 1.8T"
"20003197","23923","GLS 4WD"
"20003198","23924","GLS III"
"20003199","23925","GLS TDI"
"20003200","23926","GLS Turbo"
"20003201","23927","Ghia"
"20003202","23928","GLS V6 4Motion"
"20003203","23929","Gold"
"20003204","23930","GLS Wagon"
"20003205","23931","Grade CrewMax"
"20003206","23932","GLT SE"
"20003207","23933","Graduate"
"20003208","23934","GLX 1.8T"
"20003209","23935","Gran Custom"
"20003210","23936","GLX III"
"20003211","23937","Gran Sport"
"20003212","23938","GLX Turbo"
"20003213","23939","Grand Sport"
"20003214","23940","GLX V6 4Motion"
"20003215","23941","Grand Touring Hardtop Convertible"
"20003216","23942","GLXVR6"
"20003217","23943","GS"
"20003218","23944","GS 16V DOHC"
"20003219","23945","GS 16V Turbo"
"20003220","23946","Great Divide"
"20003221","23947","GS 1995.5"
"20003222","23948","Green Line Hybrid"
"20003223","23949","H/D 1986.5"
"20003224","23950","GS 340"
"20003225","23951","H/D Crew Cab"
"20003226","23952","GS Cargo Van"
"20003227","23953","H/D Extended Cab"
"20003228","23954","GS SE"
"20003229","23955","H/D LS"
"20003230","23956","GS TDI"
"20003231","23957","H3X"
