"MODELID","ODSID","NAME"
"20000331","21525","Model 4-48"
"20000332","21526","Model 401"
"20000333","21527","Model 41"
"20000334","21528","Model 43"
"20000335","21529","Model 43A"
"20000336","21530","Model 45"
"20000337","21531","Model 45-B"
"20000338","21532","Model 14"
"20000339","21533","Model 47"
"20000340","21534","Model 147"
"20000341","21535","Model 5"
"20000342","21536","Model 17"
"20000343","21537","Model 54"
"20000344","21538","Model 19"
"20000345","21539","Model 59"
"20000346","21540","Model 1EL"
"20000347","21541","Model 6-27"
"20000348","21542","Model 2-38"
"20000349","21543","Model 21"
"20000350","21544","Model 22"
"20000351","21545","Model 24"
"20000352","21546","Model 26"
"20000353","21547","Model 28"
"20000354","21548","Model 2GA"
"20000355","21549","Model 3-48"
"20000356","21550","Model 30-35"
"20000357","21551","Model 6-29A"
"20000358","21552","Model 30-B"
"20000359","21553","Model 601"
"20000360","21554","Model 66"
"20000361","21555","Model 30-D"
"20000362","21556","Model 302"
"20000363","21557","Model 6CA"
"20000364","21558","Model 31"
"20000365","21559","Model 7"
"20000366","21560","Model 33"
"20000367","21561","Model 76"
"20000368","21562","Model 35"
"20000369","21563","Model 37"
"20000370","21564","Model 37-B"
"20000371","21565","Model 39"
"20000372","21566","Model 78"
"20000373","21567","Model 40"
"20000374","21568","Model 7GA-7HA"
"20000375","21569","Model 402"
"20000376","21570","Model 82A"
"20000377","21571","Model 42"
"20000378","21572","Model 87HA"
"20000379","21573","Model 43-A"
"20000380","21574","Model 89A"
"20000381","21575","Model 44"
"20000382","21576","Model 9-B"
"20000383","21577","Model 45-A"
"20000384","21578","Model 922A"
"20000385","21579","Model 46"
"20000386","21580","Model 9503"
"20000387","21581","Model 48"
"20000388","21582","Model 98"
"20000389","21583","Model 98 HA"
"20000390","21584","Model 9EL"
"20000391","21585","Model A-1"
"20000392","21586","Model B-70"
"20000393","21587","Model 5-48"
"20000394","21588","Model D"
"20000395","21589","Model 55"
"20000396","21590","Model E"
"20000397","21591","Model 6"
"20000398","21592","Model E-2"
"20000399","21593","Model 6-28"
"20000400","21594","Model E-3"
"20000401","21595","Model 6-30B"
"20000402","21596","Model F-28"
"20000403","21597","Model 603"
"20000404","21598","Model F-29"
"20000405","21599","Model 68"
"20000406","21600","Model 6DA"
"20000407","21601","Model F-31"
"20000408","21602","Model 74"
"20000409","21603","Model 76H"
"20000410","21604","Model 79A"
"20000411","21605","Model 81A"
"20000412","21606","Model F-33"
"20000413","21607","Model 876H"
"20000414","21608","Model 88A"
"20000415","21609","Model F-35"
"20000416","21610","Model F-37"
"20000417","21611","Model 8DA"
"20000418","21612","Model F-39"
"20000419","21613","Model 91A"
"20000420","21614","Model G"
"20000421","21615","Model 9502"
"20000422","21616","Model 96"
"20000423","21617","Model G-39"
"20000424","21618","Model 98 BA"
"20000425","21619","Model G-7"
"20000426","21620","Model 98HA"
"20000427","21621","Model H"
"20000428","21622","Model A"
"20000429","21623","Model B"
"20000430","21624","Model C"
"20000431","21625","Model DR"
"20000432","21626","Model E-1"
"20000433","21627","Model KA"
"20000434","21628","Model E-20"
"20000435","21629","Model L"
"20000436","21630","Model L-33"
"20000437","21631","Model F"
"20000438","21632","Model F-284"
"20000439","21633","Model L-35"
"20000440","21634","Model F-30"
"20000441","21635","Model L-37"
"20000442","21636","Model F-32"
"20000443","21637","Model L-39"
"20000444","21638","Model F-34"
"20000445","21639","Model LT"
"20000446","21640","Model F-36"
"20000447","21641","Model N"
"20000448","21642","Model F-38"
"20000449","21643","Model F-40"
"20000450","21644","Model G-304"
"20000451","21645","Model G-40"
"20000452","21646","Model G-8"
"20000453","21647","Model OEL"
"20000454","21648","Model K"
"20000455","21649","Model PB"
"20000456","21650","Model KB"
"20000457","21651","Model PD"
"20000458","21652","Model L-32"
"20000459","21653","Model R"
"20000460","21654","Model L-34"
"20000461","21655","Model S"
"20000462","21656","Model L-36"
"20000463","21657","Model T"
"20000464","21658","Model L-38"
"20000465","21659","Model U"
"20000466","21660","Model L-40"
"20000467","21661","Model X"
"20000468","21662","Model M"
"20000469","21663","Model NA"
"20000470","21664","Model PA"
"20000471","21665","Model PC"
"20000472","21666","Monaco"
"20000473","21667","Model Q"
"20000474","21668","Mondial"
"20000475","21669","Model R-14"
"20000476","21670","Montana"
"20000477","21671","Model Six-30"
"20000478","21672","Montclair"
"20000479","21673","Model TR"
"20000480","21674","Montego"
"20000481","21675","Model UA"
"20000482","21676","Montero"
"20000483","21677","Model Z"
"20000484","21678","Monza"
"20000485","21679","Monarch"
"20000486","21680","Mulsanne"
"20000487","21681","Mondial t"
"20000488","21682","Mulsanne Turbo"
"20000489","21683","Murcielago"
"20000490","21684","Mustang Shelby GT"
"20000491","21685","NSX"
"20000492","21686","Nash-Healey"
"20000493","21687","Navajo"
"20000494","21688","Neon"
"20000495","21689","New York Special"
"20000496","21690","Newport"
"20000497","21691","Nitro"
"20000498","21692","Nova"
"20000499","21693","Oasis"
"20000500","21694","Olympia"
"20000501","21695","Olympic"
"20000502","21696","Omni"
"20000503","21697","Outback"
"20000504","21698","Outlook"
"20000505","21699","P3"
"20000506","21700","Pacemaker"
"20000507","21701","Pacifica"
"20000508","21702","Montana SV6"
"20000509","21703","Monte Carlo"
"20000510","21704","Monterey"
"20000511","21705","Montero Sport"
"20000512","21706","Mountaineer"
"20000513","21707","Panel"
"20000514","21708","Mulsanne S"
"20000515","21709","Panel Step Van"
"20000516","21710","Murano"
"20000517","21711","Pantera II"
"20000518","21712","Mustang"
"20000519","21713","Park Avenue"
"20000520","21714","Mystique"
"20000521","21715","Parklane"
"20000522","21716","NX"
"20000523","21717","National"
"20000524","21718","Paseo"
"20000525","21719","Navigator"
"20000526","21720","Passport"
"20000527","21721","New Cabrio"
"20000528","21722","Patrician"
"20000529","21723","Phaeton"
"20000530","21724","Phantom Drophead Coupe"
"20000531","21725","Phantom V"
"20000532","21726","New Yorker"
"20000533","21727","Phoenix"
"20000534","21728","Ninety-Eight"
"20000535","21729","Pilot"
"20000536","21730","Normale"
"20000537","21731","Pinto"
"20000538","21732","Nubira"
"20000539","21733","Platform"
"20000540","21734","Odyssey"
"20000541","21735","Plus 8"
"20000542","21736","Olympia Rekord"
"20000543","21737","Power Hawk"
"20000544","21738","Omega"
"20000545","21739","Powermaster Six"
"20000546","21740","Optima"
"20000547","21741","Prelude"
"20000548","21742","Outlander"
"20000549","21743","P1800"
"20000550","21744","PT Cruiser"
"20000551","21745","Pacer"
"20000552","21746","Packard"
"20000553","21747","Premiere"
"20000554","21748","Panel Delivery"
"20000555","21749","President Speedway"
"20000556","21750","Pantera"
"20000557","21751","Prius"
"20000558","21752","Probe"
"20000559","21753","Parisienne"
"20000560","21754","Protege5"
"20000561","21755","Park Ward"
"20000562","21756","Pulsar"
"20000563","21757","Parkwood"
"20000564","21758","Passat"
"20000565","21759","Q7"
"20000566","21760","QX56"
"20000567","21761","Pathfinder"
"20000568","21762","Quality 115"
"20000569","21763","quattro"
"20000570","21764","Quest"
"20000571","21765","R-100"
"20000572","21766","Patriot"
"20000573","21767","R-12"
"20000574","21768","Phantom Coupe"
"20000575","21769","R-130"
"20000576","21770","Phantom III"
"20000577","21771","R-16"
"20000578","21772","Phantom VI"
"20000579","21773","R-5"
"20000580","21774","R-Type"
"20000581","21775","Pickup"
"20000582","21777","Pininfarina"
"20000583","21778","R8"
"20000584","21779","Pioneer"
"20000585","21780","RAV4"
"20000586","21781","Plaza"
"20000587","21782","RL"
"20000588","21783","RS 4"
"20000589","21784","RSX"
"20000590","21785","RX 300"
"20000591","21786","Polara"
"20000592","21787","RX 350"
"20000593","21788","Powermaster"
"20000594","21789","Precis"
"20000595","21790","RX-2"
"20000596","21791","Premier"
"20000597","21792","RX-4"
"20000598","21793","President"
"20000599","21794","RX-8"
"20000600","21795","Previa"
"20000601","21796","Rabbit"
"20000602","21797","Prizm"
"20000603","21798","Rainier"
"20000604","21799","Rallye"
"20000605","21800","Protege"
"20000606","21801","Prowler"
"20000607","21802","Ram 2500"
"20000608","21803","Ram 50"
"20000609","21804","Ram Wagon"
"20000610","21805","Rambler 6"
"20000611","21806","Q45"
"20000612","21807","Rampage"
"20000613","21808","QX4"
"20000614","21809","Ranchero"
"20000615","21810","Quadrifoglio"
"20000616","21811","Range Rover Sport"
"20000617","21812","Quantum"
"20000618","21813","Rapier"
"20000619","21814","Quattroporte"
"20000620","21815","Rebel"
"20000621","21816","R-10"
"20000622","21817","Regency"
"20000623","21818","R-110"
"20000624","21819","Relay"
"20000625","21820","R-120"
"20000626","21821","Reliant Custom"
"20000627","21822","R-15"
"20000628","21823","R-17"
"20000629","21824","R-Class"
"20000630","21825","R100"
"20000631","21826","Reno"
"20000632","21827","R32"
"20000633","21828","Rio"
"20000634","21829","RA-120"
"20000635","21830","Riviera"
"20000636","21831","RDX"
"20000637","21832","Roadmaster"
"20000638","21833","RM-120"
"20000639","21834","Roadster"
"20000640","21835","RS6"
"20000641","21836","Rocky"
"20000642","21837","RX"
"20000643","21838","Rodeo Sport"
"20000644","21839","RX 330"
"20000645","21840","Rondo"
"20000646","21841","RX 400h"
"20000647","21842","Royal"
"20000648","21843","S"
"20000649","21844","S-10 Blazer"
"20000650","21845","S-110"
"20000651","21846","S-130"
"20000652","21847","S-15 Pickup"
"20000653","21848","RX-3"
"20000654","21849","S-55"
"20000655","21850","RX-7"
"20000656","21851","S-Type"
"20000657","21852","RXT"
"20000658","21853","S2"
"20000659","21854","Raider"
"20000660","21855","S3"
"20000661","21856","Rally"
"20000662","21857","S40"
"20000663","21858","Ram 1500"
"20000664","21859","S6"
"20000665","21860","Ram 3500"
"20000666","21861","Ram Van"
"20000667","21862","S7"
"20000668","21863","S8"
"20000669","21864","S90"
"20000670","21865","SA"
"20000671","21866","Rambler"
"20000672","21867","SA25"
"20000673","21868","Ramcharger"
"20000674","21869","SC 300"
"20000675","21870","Ranch"
"20000676","21871","SC 430"
"20000677","21872","Range Rover"
"20000678","21873","SF"
"20000679","21874","Ranger"
"20000680","21875","SL"
"20000681","21876","Reatta"
"20000682","21877","SLK-Class"
"20000683","21878","Regal"
"20000684","21879","SLX"
"20000685","21880","Regent"
"20000686","21881","SM-120"
"20000687","21882","Reliant"
"20000688","21883","Rendezvous"
"20000689","21884","Ridgeline"
"20000690","21885","Rio5"
"20000691","21886","Roadking"
"20000692","21887","SRX"
"20000693","21888","Roadrunner"
"20000694","21889","STD"
"20000695","21890","Rockne"
"20000696","21891","SVX"
"20000697","21892","Rodeo"
"20000698","21893","SX4"
"20000699","21894","Rogue"
"20000700","21896","Routan"
"20000701","21897","Safari"
"20000702","21898","Runabout"
"20000703","21899","Santa Fe"
"20000704","21900","S-10"
"20000705","21901","Saratoga"
"20000706","21902","S-100"
"20000707","21903","S-120"
"20000708","21904","S-15 Jimmy"
"20000709","21905","S-5"
"20000710","21906","S-Class"
"20000711","21907","Savana 1500"
"20000712","21908","S1"
"20000713","21909","Scamp"
"20000714","21910","S2000"
"20000715","21911","Scorpio"
"20000716","21912","S4"
"20000717","21913","Scout"
"20000718","21914","S5"
"20000719","21915","Scout 800"
"20000720","21916","S60"
"20000721","21917","Scout 800B"
"20000722","21918","S70"
"20000723","21919","Scrambler"
"20000724","21920","S80"
"20000725","21921","Sebring"
"20000726","21922","S98"
"20000727","21923","SA-120"
"20000728","21924","SC"
"20000729","21925","SC 400"
"20000730","21926","SD"
"20000731","21927","Sedan Delivery"
"20000732","21928","SH"
"20000733","21929","Seneca"
"20000734","21930","SL-Class"
"20000735","21931","Sentra"
"20000736","21932","SLR McLaren"
"20000737","21933","Sequoia"
"20000738","21934","SM"
"20000739","21935","Series 100"
"20000740","21936","SM-130"
"20000741","21937","Series 121"
"20000742","21938","SSR"
"20000743","21939","Series 129"
"20000744","21940","STS"
"20000745","21941","Series 15 Deluxe"
"20000746","21942","SW"
"20000747","21944","Sable"
"20000748","21945","Samurai"
"20000749","21946","Series 19A"
"20000750","21947","Sapporo"
"20000751","21948","Series 29A"
"20000752","21949","Satellite"
"20000753","21950","Series 2M"
"20000754","21951","Savoy"
"20000755","21952","Series 341"
"20000756","21953","Scirocco"
"20000757","21954","Series 355"
"20000758","21955","Scoupe"
"20000759","21956","Series 40"
"20000760","21957","Scout 80"
"20000761","21958","Series 421-J"
"20000762","21959","Scout 800A"
"20000763","21960","Series 452"
"20000764","21961","Scout II"
"20000765","21962","Series 50"
"20000766","21963","Series 518-D"
"20000767","21964","Series 521-J"
"20000768","21965","Series 527-T"
"20000769","21966","Screen"
"20000770","21967","Series 60 Special"
"20000771","21968","Second Series"
"20000772","21969","Series 618-D"
"20000773","21970","Sedona"
"20000774","21971","Series 62"
"20000775","21972","Senior"
"20000776","21973","Series 621-O"
"20000777","21974","Sephia"
"20000778","21975","Series 65"
"20000779","21976","Series 09A"
"20000780","21977","Series 67"
"20000781","21978","Series 116"
"20000782","21979","Series 72"
"20000783","21980","Series 126"
"20000784","21981","Series 77"
"20000785","21982","Series 15"
"20000786","21983","Series 150"
"20000787","21984","Series 200"
"20000788","21985","Series 2CM"
"20000789","21986","Series 314"
"20000790","21987","Series 353"
"20000791","21988","Series 80"
"20000792","21989","Series 822-E"
"20000793","21990","Series 370"
"20000794","21991","Series 825-H"
"20000795","21992","Series 417-W"
"20000796","21993","Series 427-T"
"20000797","21994","Series 89M"
"20000798","21995","Series 490"
"20000799","21996","Series 90"
"20000800","21997","Series 9CM"
"20000801","21998","Series 517-W"
"20000802","21999","Series 52"
"20000803","22000","Series B-216"
"20000804","22001","Series 521-O"
"20000805","22002","Series C-221"
"20000806","22003","Series D2"
"20000807","22004","Series F-222"
"20000808","22005","Series F-442"
"20000809","22006","Series F5"
"20000810","22007","Series FB"
"20000811","22008","Series G-70"
"20000812","22009","Series H-225"
"20000813","22010","Series H3"
"20000814","22011","Series I"
"20000815","22012","Series I-326"
"20000816","22013","Series 60"
"20000817","22014","Series 61"
"20000818","22015","Series I-50"
"20000819","22016","Series III"
"20000820","22017","Series 618-G"
"20000821","22018","Series 621-N"
"20000822","22019","Series K-421"
"20000823","22020","Series 63"
"20000824","22021","Series KK-421"
"20000825","22022","Series 66"
"20000826","22023","Series 70"
"20000827","22024","Series 75"
"20000828","22025","Series 79M"
"20000829","22026","Series L-218"
"20000830","22027","Series OCM"
"20000831","22028","Series 80-L"
"20000832","22029","Series R-10"
"20000833","22030","Series 822-ES"
"20000834","22031","Series R-3"
"20000835","22032","Series 85"
"20000836","22033","Series R-7"
"20000837","22034","Series 9"
"20000838","22035","Series Six"
"20000839","22036","Series 99A"
"20000840","22037","Seven"
"20000841","22038","Series A"
"20000842","22039","Series C"
"20000843","22040","Shadow"
"20000844","22041","Series CV"
"20000845","22043","Sidekick"
"20000846","22044","Sierra 1500"
"20000847","22045","Sierra 3500"
"20000848","22046","Series F"
"20000849","22047","Sigma"
"20000850","22048","Series F-322"
"20000851","22049","Silver Cloud I"
"20000852","22050","Series F-58"
"20000853","22051","Silver Cloud III"
"20000854","22052","Series FA"
"20000855","22053","Silver Hawk"
"20000856","22054","Series G"
"20000857","22055","Silver Shadow"
"20000858","22056","Series H"
"20000859","22057","Silver Spur"
"20000860","22058","Series H2"
"20000861","22059","Silver Wraith"
"20000862","22060","Series H4"
"20000863","22061","Silverado 1500"
"20000864","22062","Series I-226"
"20000865","22063","Series I-426"
"20000866","22064","Series II"
"20000867","22065","Series K-321"
"20000868","22066","Series KK-321A"
"20000869","22067","Series L"
"20000870","22068","Series M"
"20000871","22069","Series R-1"
"20000872","22070","Silverado 3500"
"20000873","22071","Series R-12"
"20000874","22072","Single Eight"
"20000875","22073","Six"
"20000876","22074","Series R-4"
"20000877","22075","Sky"
"20000878","22076","Series S-214"
"20000879","22077","Skylark"
"20000880","22078","Series V-237"
"20000881","22079","Skyway"
"20000882","22080","Seville"
"20000883","22081","Shelby Cobra"
"20000884","22082","Somerset"
"20000885","22083","Sonett"
"20000886","22084","Sorento"
"20000887","22085","Special 150"
"20000888","22086","Special 66"
"20000889","22087","Special DeLuxe"
"20000890","22088","Special Eight"
"20000891","22089","Special Series"
"20000892","22090","Spectra"
"20000893","22091","Spectrum"
"20000894","22092","Spider 2000"
"20000895","22093","Spitfire"
"20000896","22094","Sport Series"
"20000897","22095","Sportage"
"20000898","22096","Sportvan"
"20000899","22097","Sprint"
"20000900","22098","Sprite"
"20000901","22099","Shrike"
"20000902","22100","Sprite Mk III"
"20000903","22101","Sienna"
"20000904","22102","Squire"
"20000905","22103","Stag"
"20000906","22104","Standard"
"20000907","22105","Standard PF"
"20000908","22106","Standard Six"
"20000909","22107","Sierra 2500"
"20000910","22108","Star Chief"
"20000911","22109","Sierra 1500 Hybrid"
"20000912","22110","Starfire"
"20000913","22111","Silhouette"
"20000914","22112","Starlet"
"20000915","22113","Silver Cloud II"
"20000916","22114","State President"
"20000917","22115","Silver Dawn"
"20000918","22116","Station Wagon"
"20000919","22117","Silver Seraph"
"20000920","22118","Stepside Pickup"
"20000921","22119","Silver Spirit"
"20000922","22120","Strada"
"20000923","22121","Silver Streak"
"20000924","22122","Streamliner"
"20000925","22123","Stylemaster"
"20000926","22124","Suburban"
"20000927","22125","Sunbird"
"20000928","22126","Sunfire"
"20000929","22127","Silver Wraith II"
"20000930","22128","Silverado 2500"
"20000931","22129","Super"
"20000932","22130","Super Bee"
"20000933","22131","Silverado 1500 Hybrid"
"20000934","22132","Super Chief"
"20000935","22133","Single Six"
"20000936","22134","Super Deluxe"
"20000937","22135","Sixty Special"
"20000938","22136","Super Jet"
"20000939","22137","Skyhawk"
"20000940","22138","Super V8"
"20000941","22139","Skyliner"
"20000942","22140","Superamerica"
"20000943","22141","Solstice"
"20000944","22142","Superfast"
"20000945","22143","Supra"
"20000946","22144","T1"
"20000947","22145","T1000"
"20000948","22146","Sonata"
"20000949","22147","TC by Maserati"
"20000950","22148","Sonoma"
"20000951","22149","TF"
"20000952","22150","Special"
"20000953","22151","TR2"
"20000954","22152","Special 25"
"20000955","22153","Special 68"
"20000956","22154","TR3"
"20000957","22155","Special Deluxe"
"20000958","22156","TR6"
"20000959","22157","TR8"
"20000960","22158","Special PF"
"20000961","22159","TT"
"20000962","22160","Special Six"
"20000963","22161","Spectra5"
"20000964","22162","Tahoe"
"20000965","22163","Talbot"
"20000966","22164","Taurus"
"20000967","22165","Tempest"
"20000968","22166","Tercel"
"20000969","22167","Terraza"
"20000970","22168","Thing"
"20000971","22169","Tiara"
"20000972","22170","Tiger"
"20000973","22171","Titan"
"20000974","22172","Spider"
"20000975","22173","Torino"
"20000976","22174","Spirit"
"20000977","22175","Torino Brougham"
"20000978","22176","Sport Fury"
"20000979","22177","Torino GT"
"20000980","22178","Sport Wagon"
"20000981","22179","Torpedo"
"20000982","22180","Sports Sedan"
"20000983","22181","Torpedo JA"
"20000984","22183","Sprinter"
"20000985","22184","Sprite Mk II"
"20000986","22185","Spyder"
"20000987","22186","St Regis"
"20000988","22187","Torpedo JC"
"20000989","22188","Stake"
"20000990","22189","Touareg"
"20000991","22190","Standard Eight"
"20000992","22191","Town & Country"
"20000993","22192","Standard PG"
"20000994","22193","Town Panel"
"20000995","22194","Stanza"
"20000996","22195","Tracker"
"20000997","22196","Starchief"
"20000998","22197","TrailBlazer"
"20000999","22198","Starion"
"20001000","22199","Trans Sport"
"20001001","22200","State Commander"
"20001002","22201","Traveller"
"20001003","22202","Statesman"
"20001004","22203","Stealth"
"20001005","22204","Storm"
"20001006","22205","Stratus"
"20001007","22206","Styleline"
"20001008","22207","Tredia"
"20001009","22208","Stylus"
"20001010","22209","Tribute"
"20001011","22210","Summit"
"20001012","22211","Trooper"
"20001013","22212","Sundance"
"20001014","22213","Tundra"
"20001015","22214","Sunliner"
"20001016","22215","Turbo RL"
"20001017","22216","Super 88"
"20001018","22217","Turbo S"
"20001019","22218","Super Beetle"
"20001020","22219","Turnpike Cruiser"
"20001021","22220","Super Custom"
"20001022","22221","Twin Ignition"
"20001023","22222","Super Eight"
"20001024","22223","Super Six"
"20001025","22224","Super V8 Portfolio"
"20001026","22225","Superba"
"20001027","22226","Twin Six"
"20001028","22227","Superior"
"20001029","22228","Type 3"
"20001030","22229","Swift"
"20001031","22230","Type 53"
"20001032","22231","T100"
"20001033","22232","Type 57"
"20001034","22233","T2"
"20001035","22234","Type 61"
"20001036","22235","TD"
"20001037","22236","Type A"
"20001038","22237","TL"
"20001039","22238","Type C"
"20001040","22239","TR250"
"20001041","22240","Type E"
"20001042","22241","TR4"
"20001043","22242","Type G"
"20001044","22243","Universal"
"20001045","22244","Urraco"
"20001046","22245","V-63"
"20001047","22246","TR7"
"20001048","22247","V12 Vanquish"
"20001049","22248","TSX"
"20001050","22249","V30"
"20001051","22250","Tacoma"
"20001052","22251","V50"
"20001053","22252","Tahoe Hybrid"
"20001054","22253","V8 Vantage"
"20001055","22254","Talon"
"20001056","22255","VIP"
"20001057","22256","Taurus X"
"20001058","22257","Valiant"
"20001059","22258","Tempo"
"20001060","22259","Vanagon"
"20001061","22260","Terra"
"20001062","22261","Vandura"
"20001063","22262","Testarossa"
"20001064","22263","Thunderbird"
"20001065","22264","Tiburon"
"20001066","22265","Tiguan"
"20001067","22266","Vantage"
"20001068","22267","Topaz"
"20001069","22268","VehiCROSS"
"20001070","22269","Torino 500"
"20001071","22270","Venture"
"20001072","22271","Torino Cobra"
"20001073","22272","Veracruz"
